,,Taxonomy,,,Agreement,,,
Feature,Num. concepts,Dan,Stella,Desmond,Dan/Stella,Dan/Desmond,Stella/Desmond,Concepts
is made of plastic,491,visual-form_and_surface,visual-form_and_surface,visual-form_and_surface,TRUE,TRUE,TRUE,"air_mattress, antenna, beachball, beaker, bedpan, bottle, broom, bucket, can_opener, camera_lens, cap, car_door, cassette, chess_piece, chessboard, clasp, clarinet, clipboard, clothespin, comb, combination_lock, confetti, cookie_cutter, corkscrew, credit_card, diskette, dollhouse, domino, dreidel, dumpster, dustpan, eggbeater, eyepiece, fishbowl, flip_flop, flask, float, folder, foam, football_helmet, fork, funnel, glasses, grater, hanger, highchair, home_plate, hot-water_bottle, hula_hoop, ice_pack, iceskate, jar, kazoo, kettle, ladle, lantern, latch, lego, lens, letter_opener, lightbulb, license_plate, magnifying_glass, magnifier, mailbox, measuring_cup, meat_grinder, megaphone, mousetrap, nail_clippers, nail_file, needle, pacifier, palette, pedal, peeler, pencil, pen, pencil_sharpener, periscope, pillbox, plunger, playing_card, playpen, plug, rain_gauge, rake, razor, rearview_mirror, recorder, road_sign, robot, roller, rocking_horse, rollerblade, rosary, roof_rack, ruler, sandbox, scissors, scraper, sewing_kit, shaker, shoehorn, shopping_cart, shovel, shower_curtain, showerhead, sifter, ski_pole, slide, sled, snorkel, spatula, spool, sprinkler, squirt_gun, sunglasses, swizzle_stick, syringe, tape_measure, terrarium, thimble, thermometer, thumbtack, tongs, toothpick, toolbox, towel_rack, train_set, trowel, trophy, tweezers, videocassette, water_bottle, wheelbarrow, whistle, whisk, yo-yo, zipper, clipper2, shell1, straw2, walker2, bumper, card, flipper, film, hairpin, honeypot, mouthpiece, reel, scoop, retainer, staple, hook1, blender, bubble_wrap, buoy, contact_lens, doorknob, dumbbell, faucet, gear, goalpost, goggles, hard_disk, hubcap, key, lighter, penholder, prism, propeller, rattle, refrigerator, roulette_wheel, screwdriver, screw, shopping_basket, shower_cap, squeegee, step_stool, stethoscope, strainer, test_tube, thermos, toilet, trashcan, vial, pipe2, glass, handlebar, water_fountain, valve, juicer1, abacus, airbag, balloon, ballot_box, barrette, basketball_hoop, belt_buckle, binder, block, brace, cage, canister, chute, cooler, cutting_board, dial, doghouse, drawer, duct, eyedropper, flypaper, flyswatter, frisbee, grinder, gun, gutter, hairbrush, harmonica, headband, hinge, hose, icemaker, kaleidoscope, laundry_basket, lock, lunchbox, marker, matchbox, paddle, paintbrush, pallet, petri_dish, pinwheel, plastic_film, pliers, pogo_stick, porthole, shears, shoelace, skateboard, slingshot, spur, spout, staple_gun, steering_wheel, stretcher, sunroof, taillight, tambourine, tripod, trough, tupperware, ukulele, watch, watering_can, whoopee_cushion, wrapping_paper, screen2, tank2, crate, dolly, lifesaver, pin, tack, apron, badge, boomerang, breadbox, buckle, canoe, cart, dice, doll, flashlight, fountain_pen, gyroscope, jump_rope, kayak, knitting_needle, lanyard, light_switch, oilcan, piggy_bank, pom-pom, puck, raft, sandbag, saltshaker, sequin, sticker, sweeper, toaster, torch, toy, waffle_iron, pepper2, brush, mixer, noisemaker, tee, trunk, punch2, bib, chain, dart, gas_mask, gurney, jug, locker, ping-pong_table, satellite_dish, sim_card, ski, tackle, vent, baton1, polisher, baton3, aquarium, crank, doorhandle, go-kart, memory_stick, motorcycle, raincoat, rollerskate, tinsel, touchpad, umbrella, water_cooler, whiteboard, bin, backscratcher, cement_mixer, computer_screen, footbath, keyhole, mannequin, penlight, revolver, snowboard, spoon, button1, button2, charger, nutcracker, radiator, tape, bathtub, bottle_opener, diaper, drain, gauge, hatbox, record_player, slicer, toothbrush, tricycle, trigger, visor, windsock, wire_cutters, baton4, grille, bag, eraser, figurine, lid, place_mat, stirrup, turnstile, wheelchair, clipper1, juicer2, accordion, freezer, tray, can, coaster, coffee_pot, extinguisher, hourglass, inhaler, pocketknife, tool, turntable, tag, cable, eye_patch, outlet, pulley, shredder, ski_boots, stapler, tarp, windshield_wiper, windshield, birdcage, chopsticks, clothesline, dashboard, gearshift, snowshoe, soldering_iron, water_filter, wheel, wine_cooler, bracket, flashbulb, icepick, knob, motherboard, springboard, urinal, stamp1, riser, box, ribbon, bandage, cord, diving_board, hydrant, baton2, globe, air_pump, bowling_ball, fire_hydrant, flatiron, ratchet, stilt, container, bell, blimp, detonator, streetlight, screen1, keg, pinball, battery, knife, metronome, pincushion, hook2, keyboard, cigarette_holder, coil, car_seat, jackhammer, pitcher, speaker, suitcase, target, trap, duct_tape, guardrail, bassinet, lampshade, mug, wand, headrest, pump, walker1, bank, scale, scooter, sidecar, bike, bookmark, dishwasher, roll, mold1, slot, phone_booth, face_mask, basket, centrifuge, doorbell, headlight, highlighter, jukebox, napkin_ring, oar, telescope, bow1, cleat, sheath"
is made of various materials,368,visual-form_and_surface,visual-form_and_surface,visual-form_and_surface,TRUE,TRUE,TRUE,"anklet, arch, backdrop, backpack, backscratcher, ball, barrette, bathtub, bed, binder, birdbath, blouse, boat, bonnet, bowl, box, bra, breadbox, brace, brooch, buoy, canister, cardigan, cart, chain, cigarette_holder, cloak, coaster, coffee_table, collar, container, cooler, cross, cup, dagger, dice, dish, doll, dress, earring, eye_patch, figurine, filter, footrest, fountain_pen, gate, gear, hat, hatbox, headband, headrest, helmet, hinge, hood, jacket, jug, jewelry, kayak, lanyard, leotard, lid, lunchbox, mask, mattress, mug, necklace, ottoman, penholder, place_mat, pitcher, pocketknife, propeller, puppet, racket, raft, rifle, ring, rollerskate, sailboat, saltshaker, saucer, screw, sheet, ship, shoe, sink, skirt, slipper, sock, spear, stair, strap, sundial, tackle, tapestry, tarp, thread, tool, toy, tray, trap, tripod, vase, vest, water_filter, wheel, wreath, baton1, bow1, button1, bracelet2, button2, file1, mold1, screen2, bin, blind, brush, cape, column, crown, frame, grille, keyboard, mantle, mat, patch, organ, sheath, tag, water_fountain, baton3, bracelet1, arrow, basket, bib, chair, clipboard, coat_rack, coffee_pot, costume, counter, cushion, dart, doorhandle, doormat, dreidel, drawer, fire_pit, folder, footbath, funnel, glove, gutter, hairbrush, handle, headdress, insole, knife, knitting_needle, lampshade, marble, mousepad, napkin_ring, nest, net, pants, paperweight, pepper_mill, pole, pot, rain_gauge, ribbon, shaker, shoelace, shirt, shelf, shutter, speedboat, spoon, spool, swing, table, teacup, teapot, wall, watch, watering_can, weather_vane, whistle, yacht, bow3, pepper2, pipe1, banner, cleat, plate, riser, stool, tee, screen1, apron, bag, blazer, bracket, coat, coverall, drum, jersey, jumpsuit, knob, lamp, luggage, outfit, pan, pocket, purse, sandal, scarf, stuffing, suitcase, urn, windowsill, face_mask, globe, nail, trunk, wing, altar, bead, bikini, chalice, chute, clothes, coil, couch, duster, golf_club, locket, mop, motherboard, music_box, palette, shawl, sofa_bed, visor, bolt, tile, block, blowgun, candelabra, goblet, headscarf, hookah, hot_tub, jewel, loincloth, magnet, pendulum, pennant, quilt, rosary, rudder, sandpaper, slicer, stiletto, trailer, tube_top, uniform, wallpaper, hairpin, scoop, bowtie, centerpiece, cornucopia, cufflink, dishrag, door, lantern, laundry_basket, leggings, loveseat, measuring_cup, napkin, paintbrush, spout, stockings, trough, baton2, garter, bomb, flip_flop, gyroscope, pantsuit, turban, veil, vent, wrapping_paper, chess_piece, corset, duct, noose, blindfold, desk, pincushion, prism, sequin, sweeper, underwear, ramp, bungee, speaker, trophy, yarn, rack1, pump, rag, baton4, ashtray, bolo_tie, doorstop, glasses, powder, turtleneck, statue, throne, pipe2, album, chandelier, kettle, panties, bottle_opener, fireplace, rattle, sweatsuit, trapdoor, poker, shorts, suit, bucket, denture, grate, hammock, ruler, tablecloth, xylophone, roll, car_seat, wine_cooler, leash, slime, recliner, mitten, ski, slingshot, bagpipe, lock, tie, wrap, diaper, eyeliner, gravel, robe, duffel_bag, umbrella, wind_chimes, candlestick, clock"
is portable,298,function,function,function,TRUE,TRUE,TRUE,"air_mattress, bassinet, bottle_opener, calculator, cd_player, cellphone, coin, cooler, diskette, doghouse, first-aid_kit, generator, grill, hammock, handkerchief, harmonica, inhaler, ladder, laptop, laser_pointer, lighter, matchbox, memory_stick, metronome, metal_detector, mosquito_net, mousepad, notepad, pencil_sharpener, penlight, pillbox, pocket_watch, pocketknife, projector, radio, recorder, sewing_kit, sleeping_bag, speaker, stereo, tablet, tape_recorder, teepee, tent, timer, whistle, camera1, pipe1, charger, mouse2, air_pump, binoculars, breathalyzer, flashlight, footrest, hatchet, jump_rope, lunchbox, pedometer, step_stool, thermos, toolbox, water_filter, water_bottle, jack, ramp, accordion, air_conditioner, anvil, blowgun, cassette, clipboard, compass, computer, defibrillator, detonator, fire_pit, flask, grinder, hot-water_bottle, hotplate, kazoo, lantern, match, nail_file, notebook, padlock, pencil, penholder, playpen, pocket, polaroid, saltshaker, sandwich, sawhorse, touchpad, umbrella, whiteboard, abacus, binder, briefcase, camcorder, corkscrew, float, folder, highchair, highlighter, incubator, key, music_box, nail_clippers, photo_booth, record_player, tripod, bin, scooter, wine_cooler, backpack, bench, cage, footbath, grenade, hatbox, pen, shoehorn, scale, stilt, trunk, battery, beachball, lip_gloss, lip_balm, ping-pong_table, remote_control, shredder, slingshot, stopwatch, toaster_oven, water_cooler, tank2, backscratcher, beanbag, burner, can_opener, flute, fountain_pen, gauge, headlamp, joystick, lamp, lectern, marker, pepper_mill, phone, pump, sonogram, torch, tupperware, webcam, whoopee_cushion, keyboard, file2, screen1, candy_bar, coop, hairdryer, pacifier, pogo_stick, tape_measure, washboard, camera2, reel, amplifier, canister, sprinkler, tambourine, toothbrush, tweezers, ukulele, wallet, xylophone, yo-yo, ballot_box, doorstop, extinguisher, eyedropper, megaphone, raft, shopping_basket, stapler, turntable, bongo, lifesaver, bandanna, book, chopsticks, cigarette_holder, cot, easel, snack, tackle, tuning_fork, wrap, water_fountain, bag, suitcase, cane, ashtray, backdrop, bookmark, donut, fan, ice_pack, seismograph, sewing_machine, sled, thermostat, can, checkbook, clothespin, crib, icemaker, magnifier, sundial, viewfinder, hairpin, bottle, burrito, dumbbell, flashbulb, kaleidoscope, potholder, springboard, stethoscope, combination_lock, dreidel, icepick, comb, cutting_board, leash, rack1, teabag, telescope, breadbox, letter_opener, snorkel, mixer, clock, dice, razor, trowel, stool, fishing_pole, stretcher, wedge, ironing_board, tray, pepper2, riser, chalkboard, vacuum, bedpan, clothesline, floss, lipstick, purse, staple_gun, blackberry, cement_mixer, coat_rack, flagpole, headphones, hot_tub, hourglass, inkwell, magnifying_glass, mirror, pincushion, slicer, stamp2, bank, blower, eggbeater, kneepad, typewriter, bazooka, brass_knuckles, palette, workbench, badge, counter, headset, heater, piggy_bank, revolver, skateboard, sim_card, trap"
is large,295,visual-form_and_surface,visual-form_and_surface,visual-form_and_surface,TRUE,TRUE,TRUE,"bear, bison, bubble, bush, camper, chandelier, closet, comb, duffel_bag, elephant, ferry, firetruck, gorilla, harp, hippopotamus, humvee, lizard, locker, moose, nose, oilcan, rag, rhinoceros, school_bus, shopping_basket, spool, statue, sticker, tiger, train_car, umbrella, wallet, whale, aircraft_carrier, boulder, cougar, cruise_ship, dog, gear, grapefruit, inkwell, leopard, melon, papaya, pumpkin, ship, swordfish, truck, tuba, walrus, watermelon, hook2, hook1, bell, brooch, bus, cart, clasp, dustpan, earring, gong, gravestone, hail, lollipop, music_box, needle, notepad, panther, porthole, poster, purse, rocking_horse, rug, sailboat, spider_web, stapler, steamroller, stopwatch, tapestry, teapot, trampoline, vulture, waterwheel, chest2, banner, bin, aquarium, blimp, bouquet, dumpster, hinge, keyhole, manatee, painting, scissors, shark, spoon, toolbox, toy, trowel, turkey, yacht, yak, organ, bazooka, cage, centerpiece, coop, fishbowl, garbage_truck, lock, saltshaker, spider, table, tattoo, tractor, turbine, bow1, trunk, screen1, box, carriage, cloud, coil, doorknob, footprint, gift, moth, net, pot, snowball, tarantula, terrarium, trailer, frame, barrel, bomb, breadbox, cannon, chin, crank, drawer, fork, headdress, hole, piano, rock, shears, strainer, throne, trashcan, wheel, wineglass, tank2, brush, ashtray, backpack, bull, coffee_pot, desk, first-aid_kit, freezer, horse, padlock, photograph, pom-pom, squirt_gun, tool, vent, wedding_cake, roadsweeper, birdcage, boat, broom, bug, chime, ostrich, puppet, refrigerator, sarcophagus, shaker, stalagmite, stump, trombone, nutcracker, slot, bowl, cookie_cutter, cow, dish, fish, crane, bag, car, mallet, teddy_bear, cello, dumpling, lion, pan, binoculars, bucket, candy_bar, hot-air_balloon, mirror, space_shuttle, thorn, pipe1, accordion, belt_buckle, funnel, hovercraft, incubator, jukebox, speaker, train_set, trigger, hairbrush, vase, wagon, yo-yo, tag, polar_bear, slide, jigsaw_puzzle, petal, handle, hourglass, jar, cooler, dresser, luggage, pothole, raft, bow3, doll, gun, scraper, crystal2, bulletin_board, doghouse, gauge, knife, watering_can, bat1, detonator, eagle, sandbox, shovel, urn, ladle, palette, pelican, plant, swan, gourd, barnacle, hatbox, hot_tub, pretzel, scoreboard, ambulance, caterpillar, knob, nest, pearl, album, bank, bulldozer, couch, orchid, peacock, snowplow, swimming_pool, alligator, puddle, snake, van, meatball, boar, candy, clock, drum, flower, machete, oven, paperweight, pastry, spout, cymbal, hula_hoop, icicle, quad, saucer, trap"
is edible,227,encyclopedic,function,function,FALSE,FALSE,TRUE,"almond, apple, applesauce, artichoke, arugula, asparagus, bagel, banana, basil, bean, beet, bell_pepper, birthday_cake, biscuit, blackberry, blueberry, bok_choy, bologna, bread, breadstick, broccoli, brussels_sprouts, brownie, bun, cabbage, cake, calamari, candy_bar, cantaloupe, carrot, cashew, cauliflower, catfish, caviar, celery, cheese, cherry, chickpea, chive, chocolate, cilantro, clam, coconut, cookie, corn, cornbread, crab, cracker, cranberry, crayfish, cream_cheese, croissant, crepe, cucumber, cupcake, dandelion, donut, dumpling, eel, egg, eggplant, fig, french_fries, fruitcake, fudge, garlic, grapefruit, grape, green_beans, gumdrop, ham, hotdog, hummus, jalapeno, jelly_bean, kale, kiwi, lamb_chop, lamb, lemon, leek, lettuce, licorice, lime, lobster, lollipop, macadamia, macaroni, mango, marshmallow, mashed_potato, meatball, meatloaf, melon, mint, mulberry, muffin, mushroom, mussel, nacho, noodle, nut, olive, okra, onion, orange, oyster, pancake, papaya, parsley, patty, pastry, pea, peach, peanut, pear, pasta, pecan, pickle, piecrust, pineapple, pistachio, pita, plum, pomegranate, popcorn, potato, pretzel, prune, pumpkin, radish, raisin, raspberry, ravioli, rice, rocket, roll, salami, sandwich, sardine, sauerkraut, sausage, scallion, scallop, scone, scrambled_egg, seaweed, shrimp, spaghetti, spareribs, spinach, squash, squid, star_fruit, steak, strawberry, stuffing, sweet_potato, swordfish, toast, tomato, tortellini, tortilla, turkey, waffle, walnut, watermelon, wedding_cake, whipped_cream, yogurt, zucchini, pepper1, acorn, gourd, ice-cream_cone, fruit, fungus, pheasant, rhubarb, vegetable, chicken1, seafood, clover, root, avocado, bacon, caramel, chips, crouton, granola, gumball, hamburger, jam, meat, peppermint, pet_food, pizza, sprouts, sugar_cube, burrito, candy, candy_cane, cereal, cheesecake, gingerbread_man, honeycomb, ice_cream, pudding, quesadilla, quiche, shortbread, spring_roll, stew, taco, taffy, wafer, wrap, yolk, eclair, dogfood, flower, fish, orange_rind, petal, seed, berry, sunflower"
is round,213,visual-form_and_surface,visual-form_and_surface,visual-form_and_surface,TRUE,TRUE,TRUE,"apple, ball, basketball_hoop, beachball, berry, blackberry, bowl, bowling_ball, bubble, brussels_sprouts, cantaloupe, cherry, chickpea, crystal_ball, cymbal, dartboard, donut, doorhandle, gasket, grapefruit, grape, gumball, hula_hoop, knitting_needle, meatball, melon, navel, orange, pan, pancake, pea, pedal, pepperoni, pita, pomegranate, porthole, pumpkin, pump, radish, raspberry, ring, roulette_wheel, soccer_ball, tennis_ball, tortellini, tortilla, volleyball, watermelon, wheel, wreath, yo-yo, yoke, baseball, basketball, rim, bracket, doorknob, football, frisbee, hip, hubcap, macadamia, muffin, peach, pizza, satellite_dish, snowball, steering_wheel, tambourine, vent, whoopee_cushion, bead, birthday_cake, blueberry, bun, cannonball, carousel, coconut, coin, diskette, duct, knob, lime, lollipop, manhole, mulberry, paper_plate, patty, plum, puck, saucer, taillight, yolk, column, lifesaver, plate, slot, biscuit, chimney, cookie, hatbox, marble, pearl, tomato, button1, globe, bologna, buoy, cake, cupcake, dial, dish, muff, napkin_ring, table, trampoline, file1, bucket, cabbage, camera_lens, cap, coffee_filter, cracker, cranberry, dumpling, eye, ferris_wheel, fencepost, fishbowl, gong, keyhole, kiwi, ladybug, lampshade, pie, pill, roll, scone, shoelace, snowman, squash, tostada, wok, bin, bagel, lid, potpie, quiche, ravioli, wafer, skewer, tab, coaster, hamburger, peg, record, strainer, waffle, button2, bedpost, rice, gear, peppermint, trashcan, brush, chin, place_mat, revolving_door, tee, hole, tray, pepper1, birdcage, mirror, shield, tumbleweed, boulder, sifter, strawberry, mold1, crepe, hail, onion, sequin, basket, cauliflower, log, target, hot-air_balloon, marshmallow, sea_urchin, trunk, medal, petri_dish, burner, eggshell, handle, laundry_basket, pom-pom, speedometer, swimming_pool, tablecloth, fig, smoke_alarm, beet, paperweight, waffle_iron, breadbox, bean, hard_disk, bat2, paintbrush, pot"
is long,166,visual-form_and_surface,visual-form_and_surface,visual-form_and_surface,TRUE,TRUE,TRUE,"arrow, breadstick, canoe, carrot, cloak, cucumber, diving_board, dress, fur_coat, green_beans, icicle, javelin, limousine, needle, paddle, power_line, red_carpet, robe, scarf, shoehorn, ski_pole, skirt, snorkel, spaghetti, surfboard, thorn, zucchini, baton2, baton4, balance_beam, boa, poker, skewer, baton3, baseball_bat, bench, broom, crowbar, fishing_pole, gondola, jumpsuit, knitting_needle, leek, log, necklace, nightshirt, noodle, oar, okra, pole, ribbon, rifle, scallion, shoelace, spear, stick, sword, wand, straw2, cape, beard, chain, hose, kayak, mustache, snake, swizzle_stick, veil, windsock, baton1, barbell, bazooka, chopsticks, coat, leg, rope, school_bus, train, train_car, trough, worm, branch, cigar, cobra, hair, ski, asparagus, backscratcher, banana, bathrobe, braid, eel, guardrail, hockey_stick, hotdog, jump_rope, periscope, rhubarb, snowboard, springboard, stretcher, tape_measure, torpedo, whip, straw1, eclair, pants, shawl, film, blowgun, bone, bus, hearse, kimono, strap, toga, bow2, pipe1, mast, curtain, machete, neck, overalls, wig, ruler, hanger, stake, fencepost, saxophone, bobsled, macaroni, nose, slide, stem, stethoscope, pine_needle, shovel, chive, chute, handle, tongue, twig, antenna, jersey, cigarette_holder, cord, rolling_pin, duster, jacket, cable, missile, root, cane, gutter, shower_curtain, celery, french_fries, highlighter, pencil, pickle, seaweed, clothesline, thread, clarinet, exhaust_pipe, ladder"
is a tool,162,taxonomic,taxonomic,taxonomic,TRUE,TRUE,TRUE,"axe, blowtorch, bottle_opener, can_opener, chainsaw, chisel, comb, compass, corkscrew, crowbar, drill, hammer, hatchet, icepick, jackhammer, knife, letter_opener, machete, magnifying_glass, mallet, metronome, nail_clippers, nail_file, paddle, paintbrush, pencil_sharpener, pickax, pitchfork, pliers, pocketknife, rake, ratchet, saw, sawhorse, scissors, scraper, screwdriver, shovel, sledgehammer, soldering_iron, staple_gun, stapler, syringe, tongs, tweezers, vise, watering_can, wheelbarrow, whip, wire_cutters, wrench, clipper1, jack, nutcracker, polisher, wedge, backscratcher, eyedropper, magnifier, plunger, shoehorn, abacus, anvil, blower, boomerang, cleaver, clipboard, clothespin, coil, cookie_cutter, counter, fishhook, flyswatter, funnel, gavel, grinder, hoe, hose, knitting_needle, ladder, loom, match, mousetrap, oar, razor_blade, razor, roller, scalpel, shears, sickle, sifter, tape_measure, thermometer, trowel, viewfinder, wand, file1, stamp2, poker, pincushion, gauge, microscope, peeler, curling_iron, paperclip, shield, slicer, stethoscope, yoke, dustpan, easel, fishing_pole, hairbrush, handcuff, key, leash, lighter, needle, palette, snorkel, squeegee, sweeper, swizzle_stick, toothbrush, trap, whisk, clipper2, cane, scale, scoop, skewer, hook1, punch2, cigarette_holder, eraser, guillotine, periscope, tripod, umbrella, vacuum, hook2, chain, horseshoe, telescope, air_pump, quill, marker, microphone, sewing_machine, pencil, pin, spear, megaphone, ruler, shaker, pepper2, duster, thumbtack, flamethrower, rain_gauge, sonogram, thimble"
comes in different shapes and sizes,155,visual-form_and_surface,visual-form_and_surface,visual-form_and_surface,TRUE,TRUE,TRUE,"barrette, bread, chair, cracker, joystick, lightbulb, noodle, pacifier, pencil_sharpener, place_mat, bow1, mold1, cap, figurine, fireworks, glasses, seed, sunglasses, vase, glass, fish, float, french_fries, medal, nail_file, napkin_ring, nut, spaghetti, trophy, candlestick, comb, cushion, kite, pasta, plug, sail, soap, sponge, gourd, basket, belt_buckle, biscuit, bone, bottle, cactus, candle, candy, chess_piece, cookie, doorknocker, gasket, hat, key, lampshade, lipstick, outlet, root, brush, swab, balloon, buckle, chips, nail_clippers, pitcher, pocket, squirt_gun, sticker, tray, stamp2, noisemaker, patch, stool, beanbag, contact_lens, duster, hairbrush, blinder, doorhandle, ear, mask, palette, plate, eraser, pill, mouse2, pickle, file1, pincushion, squash, wine_bottle, cookie_cutter, filter, container, doormat, fishhook, gravel, gutter, peeler, potholder, handlebar, tile, awning, bottle_opener, dish, hanger, ice_pack, lego, mushroom, ottoman, table, teabag, hairpin, brooch, cufflink, flyswatter, toy, coffee_filter, doorknob, pie, bag, chinaware, earring, foam, leaf, lock, whistle, bracket, chocolate, confetti, jug, shaker, jewel, lamp, vegetable, fruit, goggles, lunchbox, penholder, lifesaver, flower, marshmallow, surfboard, shell2, shell3, cereal, lid, pillow, paperweight, sequin, wind_chimes, mirror, popsicle, sandwich, scraper, silverware"
