norm,concepts,norm,sim.,concepts,Stella same? y/n,merge to,notes
worn_for_covering_body,"robe, swimsuit",worn_for_covering_clothes,0.90,apron,n,,
used_for_cutting_paper,scissors,used_for_making_paper,0.90,birch,n,,
has_a_barrel,"cannon, rifle",has_a_long_barrel,0.90,rifle,y,has_a_barrel,"removing ""long barrel"""
inbeh_-_produces_loud_noise,"grenade, whistle",inbeh_-_produces_noise,0.90,"cello, drum, rattle, tuba, typewriter, whip, whistle",n,,
used_for_locking/unlocking_doors,"bolts, key",used_for_locks,0.90,key,n,,
used_for_buying_items,coin,used_for_shopping,0.90,cart,n,,
has_a_dial,telephone,has_dials,0.90,radio,n,,
requires_fuel,"jet, rocket",requires_gasoline,0.90,"car, limousine, motorcycle, tractor, truck, van",n,,
worn_on_fingers,"ring_(jewelry), thimble",worn_on_hands,0.90,"gloves, mittens",n,,
used_for_cleaning,"apron, broom, brush, napkin, rake",used_for_cleaning_dishes,0.90,dishwasher,n,,
has_1_piece,swimsuit,has_2_pieces,0.90,"pajamas, swimsuit",n,,
has_a_long_tail,"cougar, iguana, mouse, pony, rat, salamander",has_a_tail,0.90,"alligator, beaver, calf, cat, chipmunk, cougar, coyote, crocodile, deer, dog, donkey, elephant, fawn, fox, goat, hamster, hare, horse, iguana, lion, lobster, mink, mouse, otter, panther, peacock, perch, pig, pony, rabbit, raccoon, rat, rattlesnake, salmon, shrimp, skunk, squirrel, trout, zebra",n,,
used_for_laundry,sink,used_for_washing,0.90,"bathtub, sink",n,,
used_for_eating,"bowl, dish, fork, plate, spoon",used_for_eating_on,0.90,table,n,,
used_by_criminals,revolver,used_for_crimes,0.90,"gun, pistol",y,used_for_crimes,
used_by_1_or_2_people,motorcycle,used_by_2_people,0.90,"canoe, motorcycle",y,used_by_1_or_2_people,
has_4_legs,"bear, bench, buffalo, calf, caribou, cat, chair, cheetah, couch, cougar, cow, coyote, crocodile, deer, desk, dog, donkey, elephant, elk, fawn, fox, giraffe, goat, gopher, hare, horse, hyena, iguana, lamb, leopard, mink, mole_(animal), moose, ox, panther, pig, pony, porcupine, rat, salamander, sheep, skunk, sofa, squirrel, stool_(furniture), table, tortoise, turtle, zebra",has_6_legs,0.90,"ant, crab, spider",n,,
eaten_as_beef,cow,eaten_as_meat,0.90,"coconut, cow, lamb, moose, sheep, turkey",n,,
used_for_chopping,"axe, hatchet",used_for_chopping_wood,0.90,axe,y,used_for_chopping,
beh_-_eats_mice,"cat, hawk, owl",eaten_by_mice,0.90,cheese,n,,
used_by_playing,banjo,used_for_playing,0.90,"ball, doll, kite, marble, toy",n,,
has_2_wheels,"bike, cart, motorcycle, scooter, wheelbarrow",has_3_wheels,0.91,tricycle,n,,
used_on_animals,"muzzle, whip",used_on_dogs,0.91,muzzle,y,used_on_animals,
used_for_carrying_people,elevator,used_for_carrying_things,0.91,"bag, bucket, buggy, sack, trailer, tray, trolley, wheelbarrow",n,,
made_from_dried_plums,prune,made_from_plums,0.91,prune,y,made_from_plums,
used_for_heating,stove,used_for_heating_food,0.91,microwave,y,used_for_heating_food,mcrae stove is kitchen stove
used_for_eating,"bowl, dish, fork, plate, spoon",used_for_food,0.91,"bowl, dish, grater, oven, plate, skillet, tray",n,,
used_for_pounding_nails,hammer,used_for_pulling_nails,0.91,hammer,y,used_for_pounding_nails,
